,DepenVar,DepenVarLvel,IndepenVar,IndepenVarLvel,IndepenVar1,IndepenVar1Lvel,IndepenVar2,IndepenVar2Lvel,IndepenVar3,IndepenVar3Lvel,CondProb
0,TravelTimeDisc11,0,Road13Avail,0,Road40Avail,0,2,-,3,-,0.3
0,TravelTimeDisc11,0,Road13Avail,0,Road40Avail,1,2,-,3,-,0.3333333333333333
0,TravelTimeDisc11,0,Road13Avail,1,Road40Avail,0,2,-,3,-,0.3333333333333333
0,TravelTimeDisc11,0,Road13Avail,1,Road40Avail,1,2,-,3,-,0.3
0,TravelTimeDisc11,0,Road13Avail,2,Road40Avail,0,2,-,3,-,0.2777777777777778
0,TravelTimeDisc11,0,Road13Avail,2,Road40Avail,1,2,-,3,-,0.30952380952380953
0,TravelTimeDisc11,0,Road13Avail,3,Road40Avail,0,2,-,3,-,0.2777777777777778
0,TravelTimeDisc11,0,Road13Avail,3,Road40Avail,1,2,-,3,-,0.30952380952380953
0,TravelTimeDisc11,1,Road13Avail,0,Road40Avail,0,2,-,3,-,0.016666666666666666
0,TravelTimeDisc11,1,Road13Avail,0,Road40Avail,1,2,-,3,-,0.3333333333333333
0,TravelTimeDisc11,1,Road13Avail,1,Road40Avail,0,2,-,3,-,0.3333333333333333
0,TravelTimeDisc11,1,Road13Avail,1,Road40Avail,1,2,-,3,-,0.016666666666666666
0,TravelTimeDisc11,1,Road13Avail,2,Road40Avail,0,2,-,3,-,0.0
0,TravelTimeDisc11,1,Road13Avail,2,Road40Avail,1,2,-,3,-,0.023809523809523808
0,TravelTimeDisc11,1,Road13Avail,3,Road40Avail,0,2,-,3,-,0.0
0,TravelTimeDisc11,1,Road13Avail,3,Road40Avail,1,2,-,3,-,0.023809523809523808
0,TravelTimeDisc11,2,Road13Avail,0,Road40Avail,0,2,-,3,-,0.6833333333333333
0,TravelTimeDisc11,2,Road13Avail,0,Road40Avail,1,2,-,3,-,0.3333333333333333
0,TravelTimeDisc11,2,Road13Avail,1,Road40Avail,0,2,-,3,-,0.3333333333333333
0,TravelTimeDisc11,2,Road13Avail,1,Road40Avail,1,2,-,3,-,0.6833333333333333
0,TravelTimeDisc11,2,Road13Avail,2,Road40Avail,0,2,-,3,-,0.7222222222222222
0,TravelTimeDisc11,2,Road13Avail,2,Road40Avail,1,2,-,3,-,0.6666666666666666
0,TravelTimeDisc11,2,Road13Avail,3,Road40Avail,0,2,-,3,-,0.7222222222222222
0,TravelTimeDisc11,2,Road13Avail,3,Road40Avail,1,2,-,3,-,0.6666666666666666
0,TotalCostDisc11,0,Road13Costs,0,Road40Costs,0,2,-,3,-,0.5666666666666667
0,TotalCostDisc11,0,Road13Costs,0,Road40Costs,1,2,-,3,-,0.5
0,TotalCostDisc11,0,Road13Costs,1,Road40Costs,0,2,-,3,-,0.5
0,TotalCostDisc11,0,Road13Costs,1,Road40Costs,1,2,-,3,-,0.5666666666666667
0,TotalCostDisc11,1,Road13Costs,0,Road40Costs,0,2,-,3,-,0.43333333333333335
0,TotalCostDisc11,1,Road13Costs,0,Road40Costs,1,2,-,3,-,0.5
0,TotalCostDisc11,1,Road13Costs,1,Road40Costs,0,2,-,3,-,0.5
0,TotalCostDisc11,1,Road13Costs,1,Road40Costs,1,2,-,3,-,0.43333333333333335
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,0,Road37Avail,0,Road49Avail,0,0.9666666666666667
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,0,Road37Avail,0,Road49Avail,1,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,0,Road37Avail,0,Road49Avail,2,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,0,Road37Avail,0,Road49Avail,3,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,0,Road37Avail,1,Road49Avail,0,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,0,Road37Avail,1,Road49Avail,1,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,0,Road37Avail,1,Road49Avail,2,0.975
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,0,Road37Avail,1,Road49Avail,3,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,0,Road37Avail,2,Road49Avail,0,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,0,Road37Avail,2,Road49Avail,1,0.975
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,0,Road37Avail,2,Road49Avail,2,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,0,Road37Avail,2,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,0,Road37Avail,3,Road49Avail,0,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,0,Road37Avail,3,Road49Avail,1,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,0,Road37Avail,3,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,0,Road37Avail,3,Road49Avail,3,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,1,Road37Avail,0,Road49Avail,0,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,1,Road37Avail,0,Road49Avail,1,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,1,Road37Avail,0,Road49Avail,2,0.975
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,1,Road37Avail,0,Road49Avail,3,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,1,Road37Avail,1,Road49Avail,0,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,1,Road37Avail,1,Road49Avail,1,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,1,Road37Avail,1,Road49Avail,2,0.975
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,1,Road37Avail,1,Road49Avail,3,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,1,Road37Avail,2,Road49Avail,0,0.975
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,1,Road37Avail,2,Road49Avail,1,0.975
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,1,Road37Avail,2,Road49Avail,2,0.975
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,1,Road37Avail,2,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,1,Road37Avail,3,Road49Avail,0,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,1,Road37Avail,3,Road49Avail,1,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,1,Road37Avail,3,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,1,Road37Avail,3,Road49Avail,3,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,2,Road37Avail,0,Road49Avail,0,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,2,Road37Avail,0,Road49Avail,1,0.975
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,2,Road37Avail,0,Road49Avail,2,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,2,Road37Avail,0,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,2,Road37Avail,1,Road49Avail,0,0.975
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,2,Road37Avail,1,Road49Avail,1,0.975
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,2,Road37Avail,1,Road49Avail,2,0.975
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,2,Road37Avail,1,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,2,Road37Avail,2,Road49Avail,0,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,2,Road37Avail,2,Road49Avail,1,0.975
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,2,Road37Avail,2,Road49Avail,2,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,2,Road37Avail,2,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,2,Road37Avail,3,Road49Avail,0,1.0
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,2,Road37Avail,3,Road49Avail,1,1.0
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,2,Road37Avail,3,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,2,Road37Avail,3,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,3,Road37Avail,0,Road49Avail,0,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,3,Road37Avail,0,Road49Avail,1,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,3,Road37Avail,0,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,3,Road37Avail,0,Road49Avail,3,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,3,Road37Avail,1,Road49Avail,0,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,3,Road37Avail,1,Road49Avail,1,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,3,Road37Avail,1,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,3,Road37Avail,1,Road49Avail,3,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,3,Road37Avail,2,Road49Avail,0,1.0
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,3,Road37Avail,2,Road49Avail,1,1.0
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,3,Road37Avail,2,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,3,Road37Avail,2,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,3,Road37Avail,3,Road49Avail,0,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,3,Road37Avail,3,Road49Avail,1,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,3,Road37Avail,3,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,0,Road24Avail,3,Road37Avail,3,Road49Avail,3,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,0,Road37Avail,0,Road49Avail,0,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,0,Road37Avail,0,Road49Avail,1,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,0,Road37Avail,0,Road49Avail,2,0.975
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,0,Road37Avail,0,Road49Avail,3,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,0,Road37Avail,1,Road49Avail,0,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,0,Road37Avail,1,Road49Avail,1,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,0,Road37Avail,1,Road49Avail,2,0.975
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,0,Road37Avail,1,Road49Avail,3,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,0,Road37Avail,2,Road49Avail,0,0.975
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,0,Road37Avail,2,Road49Avail,1,0.975
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,0,Road37Avail,2,Road49Avail,2,0.975
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,0,Road37Avail,2,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,0,Road37Avail,3,Road49Avail,0,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,0,Road37Avail,3,Road49Avail,1,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,0,Road37Avail,3,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,0,Road37Avail,3,Road49Avail,3,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,1,Road37Avail,0,Road49Avail,0,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,1,Road37Avail,0,Road49Avail,1,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,1,Road37Avail,0,Road49Avail,2,0.975
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,1,Road37Avail,0,Road49Avail,3,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,1,Road37Avail,1,Road49Avail,0,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,1,Road37Avail,1,Road49Avail,1,0.9666666666666667
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,1,Road37Avail,1,Road49Avail,2,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,1,Road37Avail,1,Road49Avail,3,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,1,Road37Avail,2,Road49Avail,0,0.975
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,1,Road37Avail,2,Road49Avail,1,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,1,Road37Avail,2,Road49Avail,2,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,1,Road37Avail,2,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,1,Road37Avail,3,Road49Avail,0,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,1,Road37Avail,3,Road49Avail,1,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,1,Road37Avail,3,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,1,Road37Avail,3,Road49Avail,3,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,2,Road37Avail,0,Road49Avail,0,0.975
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,2,Road37Avail,0,Road49Avail,1,0.975
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,2,Road37Avail,0,Road49Avail,2,0.975
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,2,Road37Avail,0,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,2,Road37Avail,1,Road49Avail,0,0.975
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,2,Road37Avail,1,Road49Avail,1,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,2,Road37Avail,1,Road49Avail,2,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,2,Road37Avail,1,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,2,Road37Avail,2,Road49Avail,0,0.975
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,2,Road37Avail,2,Road49Avail,1,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,2,Road37Avail,2,Road49Avail,2,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,2,Road37Avail,2,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,2,Road37Avail,3,Road49Avail,0,1.0
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,2,Road37Avail,3,Road49Avail,1,1.0
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,2,Road37Avail,3,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,2,Road37Avail,3,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,3,Road37Avail,0,Road49Avail,0,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,3,Road37Avail,0,Road49Avail,1,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,3,Road37Avail,0,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,3,Road37Avail,0,Road49Avail,3,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,3,Road37Avail,1,Road49Avail,0,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,3,Road37Avail,1,Road49Avail,1,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,3,Road37Avail,1,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,3,Road37Avail,1,Road49Avail,3,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,3,Road37Avail,2,Road49Avail,0,1.0
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,3,Road37Avail,2,Road49Avail,1,1.0
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,3,Road37Avail,2,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,3,Road37Avail,2,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,3,Road37Avail,3,Road49Avail,0,0.9642857142857143
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,3,Road37Avail,3,Road49Avail,1,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,3,Road37Avail,3,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,1,Road24Avail,3,Road37Avail,3,Road49Avail,3,0.9655172413793104
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,0,Road37Avail,0,Road49Avail,0,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,0,Road37Avail,0,Road49Avail,1,0.975
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,0,Road37Avail,0,Road49Avail,2,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,0,Road37Avail,0,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,0,Road37Avail,1,Road49Avail,0,0.975
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,0,Road37Avail,1,Road49Avail,1,0.975
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,0,Road37Avail,1,Road49Avail,2,0.975
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,0,Road37Avail,1,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,0,Road37Avail,2,Road49Avail,0,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,0,Road37Avail,2,Road49Avail,1,0.975
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,0,Road37Avail,2,Road49Avail,2,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,0,Road37Avail,2,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,0,Road37Avail,3,Road49Avail,0,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,0,Road37Avail,3,Road49Avail,1,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,0,Road37Avail,3,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,0,Road37Avail,3,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,1,Road37Avail,0,Road49Avail,0,0.975
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,1,Road37Avail,0,Road49Avail,1,0.975
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,1,Road37Avail,0,Road49Avail,2,0.975
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,1,Road37Avail,0,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,1,Road37Avail,1,Road49Avail,0,0.975
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,1,Road37Avail,1,Road49Avail,1,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,1,Road37Avail,1,Road49Avail,2,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,1,Road37Avail,1,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,1,Road37Avail,2,Road49Avail,0,0.975
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,1,Road37Avail,2,Road49Avail,1,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,1,Road37Avail,2,Road49Avail,2,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,1,Road37Avail,2,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,1,Road37Avail,3,Road49Avail,0,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,1,Road37Avail,3,Road49Avail,1,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,1,Road37Avail,3,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,1,Road37Avail,3,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,2,Road37Avail,0,Road49Avail,0,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,2,Road37Avail,0,Road49Avail,1,0.975
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,2,Road37Avail,0,Road49Avail,2,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,2,Road37Avail,0,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,2,Road37Avail,1,Road49Avail,0,0.975
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,2,Road37Avail,1,Road49Avail,1,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,2,Road37Avail,1,Road49Avail,2,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,2,Road37Avail,1,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,2,Road37Avail,2,Road49Avail,0,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,2,Road37Avail,2,Road49Avail,1,0.975609756097561
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,2,Road37Avail,2,Road49Avail,2,0.9666666666666667
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,2,Road37Avail,2,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,2,Road37Avail,3,Road49Avail,0,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,2,Road37Avail,3,Road49Avail,1,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,2,Road37Avail,3,Road49Avail,2,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,2,Road37Avail,3,Road49Avail,3,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,3,Road37Avail,0,Road49Avail,0,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,3,Road37Avail,0,Road49Avail,1,1.0
0,TravelTimeDisc11,0,Road22Avail,2,Road24Avail,3,Road37Avail,0,Road49Avail,2,1.0
